sku,prueba,pValue
1,promo vs udsVentaT,0.8993999844488696
1,weekday vs udsVentaT,9.150991617656698e-33
1,bolOpen vs udsVentaT,3.7839531734113903e-41
1,bolHoliday vs udsVentaT,5.4234292635997765e-43
2,promo vs udsVentaT,0.03947387411937296
2,weekday vs udsVentaT,7.016050312863717e-40
2,bolOpen vs udsVentaT,1.59187665553421e-48
2,bolHoliday vs udsVentaT,1.9631893938744656e-51
3,promo vs udsVentaT,0.12388037391299826
3,weekday vs udsVentaT,7.926511419026284e-24
3,bolOpen vs udsVentaT,5.223788356515084e-25
3,bolHoliday vs udsVentaT,4.6700694100040973e-26
4,promo vs udsVentaT,0.5169807151070935
4,weekday vs udsVentaT,4.676928962983556e-30
4,bolOpen vs udsVentaT,8.115143036284747e-34
4,bolHoliday vs udsVentaT,1.626441967821647e-34
5,promo vs udsVentaT,0.6840196056212515
5,weekday vs udsVentaT,1.0439426257283833e-28
5,bolOpen vs udsVentaT,1.48235579303328e-36
5,bolHoliday vs udsVentaT,3.697206130397328e-38
6,promo vs udsVentaT,2.7937280229572593e-16
6,weekday vs udsVentaT,1.5861511663718297e-30
6,bolOpen vs udsVentaT,5.3542304928614215e-37
6,bolHoliday vs udsVentaT,3.714895497464787e-38
7,promo vs udsVentaT,
7,weekday vs udsVentaT,3.0275216474212584e-57
7,bolOpen vs udsVentaT,6.3446620086665995e-59
7,bolHoliday vs udsVentaT,1.343408476957277e-65
8,promo vs udsVentaT,6.350230067917399e-06
8,weekday vs udsVentaT,8.958059087593246e-20
8,bolOpen vs udsVentaT,1.832341972627453e-24
8,bolHoliday vs udsVentaT,1.204831587375138e-24
9,promo vs udsVentaT,0.9839886818359959
9,weekday vs udsVentaT,7.452588308184929e-21
9,bolOpen vs udsVentaT,2.0017145837732973e-21
9,bolHoliday vs udsVentaT,4.253940188422519e-27
10,promo vs udsVentaT,0.0035227636857990325
10,weekday vs udsVentaT,6.1864631018632254e-21
10,bolOpen vs udsVentaT,2.5316068846676876e-23
10,bolHoliday vs udsVentaT,1.6775955975572495e-24
11,promo vs udsVentaT,0.26888736782947875
11,weekday vs udsVentaT,6.03656786256283e-26
11,bolOpen vs udsVentaT,6.33712834383343e-19
11,bolHoliday vs udsVentaT,2.123599709920694e-23
12,promo vs udsVentaT,0.6700888325247445
12,weekday vs udsVentaT,0.0020083429821364488
12,bolOpen vs udsVentaT,
12,bolHoliday vs udsVentaT,
13,promo vs udsVentaT,
13,weekday vs udsVentaT,7.394971026012023e-33
13,bolOpen vs udsVentaT,7.373921575491074e-40
13,bolHoliday vs udsVentaT,5.7087249509574314e-40
14,promo vs udsVentaT,0.9293709507766967
14,weekday vs udsVentaT,4.607178050448608e-20
14,bolOpen vs udsVentaT,6.183249769562584e-25
14,bolHoliday vs udsVentaT,2.493797318495533e-24
15,promo vs udsVentaT,1.1992870898464288e-18
15,weekday vs udsVentaT,1.7802102098355333e-16
15,bolOpen vs udsVentaT,6.509181291278081e-19
15,bolHoliday vs udsVentaT,1.80898246548747e-18
16,promo vs udsVentaT,4.650501622764279e-13
16,weekday vs udsVentaT,8.814082092210191e-23
16,bolOpen vs udsVentaT,1.0691460496110107e-28
16,bolHoliday vs udsVentaT,7.7056093219058e-30
17,promo vs udsVentaT,1.0601638790354685e-05
17,weekday vs udsVentaT,2.230729678950463e-14
17,bolOpen vs udsVentaT,1.2287521977977267e-19
17,bolHoliday vs udsVentaT,9.589367501082027e-21
18,promo vs udsVentaT,0.5734258352016441
18,weekday vs udsVentaT,6.13256182639349e-18
18,bolOpen vs udsVentaT,8.656845458673654e-23
18,bolHoliday vs udsVentaT,1.8042316932165105e-22
19,promo vs udsVentaT,0.3845061757479392
19,weekday vs udsVentaT,3.1110115965040097e-22
19,bolOpen vs udsVentaT,5.14324936418667e-23
19,bolHoliday vs udsVentaT,1.013840695431828e-27
20,promo vs udsVentaT,0.09014780736994688
20,weekday vs udsVentaT,3.8663255928207225e-19
20,bolOpen vs udsVentaT,8.204748905213948e-25
20,bolHoliday vs udsVentaT,2.9477763671170816e-24
21,promo vs udsVentaT,0.07133684591078114
21,weekday vs udsVentaT,5.06314889958546e-19
21,bolOpen vs udsVentaT,4.5456580098345515e-25
21,bolHoliday vs udsVentaT,2.4584554567111312e-23
22,promo vs udsVentaT,0.18231545898139606
22,weekday vs udsVentaT,4.4019747680340894e-16
22,bolOpen vs udsVentaT,8.179493752181981e-16
22,bolHoliday vs udsVentaT,1.7857370130413706e-19
23,promo vs udsVentaT,0.13008108145122954
23,weekday vs udsVentaT,6.341275434708446e-18
23,bolOpen vs udsVentaT,1.0972537307991112e-16
23,bolHoliday vs udsVentaT,1.5042602782786662e-18
24,promo vs udsVentaT,8.018857223630118e-13
24,weekday vs udsVentaT,1.156162052176263e-17
24,bolOpen vs udsVentaT,7.618447088996262e-19
24,bolHoliday vs udsVentaT,1.7164850726955546e-20
25,promo vs udsVentaT,0.5798298621020823
25,weekday vs udsVentaT,0.05971548028573856
25,bolOpen vs udsVentaT,
25,bolHoliday vs udsVentaT,
26,promo vs udsVentaT,1.3530688470737282e-07
26,weekday vs udsVentaT,3.319527196806458e-13
26,bolOpen vs udsVentaT,3.407244104753256e-17
26,bolHoliday vs udsVentaT,1.600651923650527e-17
27,promo vs udsVentaT,0.001931812248356206
27,weekday vs udsVentaT,1.1758032129430268e-20
27,bolOpen vs udsVentaT,6.064302557344718e-25
27,bolHoliday vs udsVentaT,2.527880346220182e-23
28,promo vs udsVentaT,0.561334116013738
28,weekday vs udsVentaT,3.2410789753179173e-19
28,bolOpen vs udsVentaT,4.528811554627822e-25
28,bolHoliday vs udsVentaT,1.2736034163014184e-24
29,promo vs udsVentaT,0.2352131835369771
29,weekday vs udsVentaT,5.055389544381204e-27
29,bolOpen vs udsVentaT,3.173619379506971e-33
29,bolHoliday vs udsVentaT,7.159819290967608e-35
30,promo vs udsVentaT,0.0007786325806245349
30,weekday vs udsVentaT,1.3729837517108137e-19
30,bolOpen vs udsVentaT,
30,bolHoliday vs udsVentaT,
31,promo vs udsVentaT,0.4453786348354444
31,weekday vs udsVentaT,4.352780585502679e-30
31,bolOpen vs udsVentaT,1.3585816226229863e-34
31,bolHoliday vs udsVentaT,4.665222120030123e-36
32,promo vs udsVentaT,0.02258719717894985
32,weekday vs udsVentaT,1.1561408771343018e-38
32,bolOpen vs udsVentaT,7.226678011691772e-32
32,bolHoliday vs udsVentaT,9.102194770590436e-45
33,promo vs udsVentaT,0.9319784543545558
33,weekday vs udsVentaT,4.517454970611545e-27
33,bolOpen vs udsVentaT,1.0766448372552419e-23
33,bolHoliday vs udsVentaT,2.143843824004265e-25
34,promo vs udsVentaT,0.5226148239182352
34,weekday vs udsVentaT,2.1913908800705504e-18
34,bolOpen vs udsVentaT,2.7100476539134513e-24
34,bolHoliday vs udsVentaT,9.679948854852549e-26
35,promo vs udsVentaT,0.6871707909928109
35,weekday vs udsVentaT,1.307369446708284e-12
35,bolOpen vs udsVentaT,7.390062727162184e-15
35,bolHoliday vs udsVentaT,3.2716830212044235e-16
36,promo vs udsVentaT,0.00047486370706067933
36,weekday vs udsVentaT,2.8328801745544115e-15
36,bolOpen vs udsVentaT,1.5669248882908459e-21
36,bolHoliday vs udsVentaT,2.1452641500566922e-20
37,promo vs udsVentaT,0.16903958358489174
37,weekday vs udsVentaT,7.423385769279321e-20
37,bolOpen vs udsVentaT,2.511024621861167e-19
37,bolHoliday vs udsVentaT,3.5431741598111873e-19
38,promo vs udsVentaT,0.2759478597649593
38,weekday vs udsVentaT,1.8125258936031392e-22
38,bolOpen vs udsVentaT,2.2810863441613054e-26
38,bolHoliday vs udsVentaT,1.468580433048681e-25
39,promo vs udsVentaT,2.0526959858010417e-08
39,weekday vs udsVentaT,7.720392421176672e-14
39,bolOpen vs udsVentaT,6.412967082814342e-16
39,bolHoliday vs udsVentaT,2.9834673109967006e-18
40,promo vs udsVentaT,0.31875894347075606
40,weekday vs udsVentaT,4.756746857131774e-32
40,bolOpen vs udsVentaT,4.419185955564729e-36
40,bolHoliday vs udsVentaT,3.369243461177242e-35
41,promo vs udsVentaT,0.6217132659086675
41,weekday vs udsVentaT,1.5138343017076906e-22
41,bolOpen vs udsVentaT,3.112930629822253e-24
41,bolHoliday vs udsVentaT,1.5294374639857068e-23
42,promo vs udsVentaT,0.0006922077339642583
42,weekday vs udsVentaT,9.134101962610232e-19
42,bolOpen vs udsVentaT,4.4748603129734124e-24
42,bolHoliday vs udsVentaT,5.514844936219715e-24
43,promo vs udsVentaT,3.087700993384692e-07
43,weekday vs udsVentaT,2.35040435920127e-19
43,bolOpen vs udsVentaT,6.248499164044099e-25
43,bolHoliday vs udsVentaT,2.0196324266189027e-26
44,promo vs udsVentaT,
44,weekday vs udsVentaT,3.2098733979411234e-19
44,bolOpen vs udsVentaT,1.474970796310664e-23
44,bolHoliday vs udsVentaT,2.2038295059691008e-23
45,promo vs udsVentaT,0.2339723682784035
45,weekday vs udsVentaT,6.132168488631294e-22
45,bolOpen vs udsVentaT,7.449623061813572e-29
45,bolHoliday vs udsVentaT,5.660002981060425e-27
46,promo vs udsVentaT,0.0032690046500650173
46,weekday vs udsVentaT,5.055764277125837e-20
46,bolOpen vs udsVentaT,1.6907661840310744e-21
46,bolHoliday vs udsVentaT,7.360656345356664e-23
47,promo vs udsVentaT,1.7981155271445397e-20
47,weekday vs udsVentaT,1.2939498632549822e-18
47,bolOpen vs udsVentaT,1.1180655943841502e-22
47,bolHoliday vs udsVentaT,1.6740730860895686e-24
48,promo vs udsVentaT,7.779574885473526e-07
48,weekday vs udsVentaT,2.1391454621301673e-18
48,bolOpen vs udsVentaT,4.722014293652015e-22
48,bolHoliday vs udsVentaT,1.2273404477825819e-23
49,promo vs udsVentaT,0.013785505389649969
49,weekday vs udsVentaT,3.83964267516831e-13
49,bolOpen vs udsVentaT,3.3218862029199694e-16
49,bolHoliday vs udsVentaT,1.2999393095302656e-17
50,promo vs udsVentaT,0.0624278705254822
50,weekday vs udsVentaT,6.292562849475544e-16
50,bolOpen vs udsVentaT,2.2047147129495295e-20
50,bolHoliday vs udsVentaT,6.37186779743137e-19
